"time","h1","h2","h1_ss","h2_ss"
23.46,12.046362896384467,6.023181421378007,8,4
23.52,12.046362865408332,6.0231814246002235,8,4
23.58,12.046362837490186,6.023181426538756,8,4
23.64,12.046362812495499,6.023181427133867,8,4
23.7,12.04636279028899,6.023181426317805,8,4
23.76,12.046362770734632,6.023181424014823,8,4
23.82,12.046362750784441,6.023181421452305,8,4
23.88,12.046362729587434,6.023181419397234,8,4
23.94,12.04636270985213,6.023181416772255,8,4
24,12.046362691416293,6.0231814136312956,8,4
24.06,12.046362674117708,6.023181410028283,8,4
24.12,12.046362657794143,6.023181406017143,8,4
24.18,12.046362642283366,6.0231814016518035,8,4
24.24,12.046362627423154,6.023181396986193,8,4
24.3,12.04636261305128,6.023181392074237,8,4
24.36,12.046362599005514,6.023181386969863,8,4
24.42,12.046362585123632,6.0231813817269995,8,4
24.48,12.046362571243403,6.02318137639957,8,4
24.54,12.046362557202603,6.023181371041505,8,4
24.6,12.046362542839002,6.02318136570673,8,4
24.66,12.046362527990375,6.023181360449173,8,4
24.72,12.046362512494493,6.023181355322759,8,4
24.78,12.046362496189126,6.023181350381418,8,4
24.84,12.046362478912052,6.023181345679076,8,4
24.9,12.04636246050104,6.02318134126966,8,4
24.96,12.046362440793864,6.023181337207096,8,4
25.02,12.046362419628299,6.023181333545312,8,4
25.08,12.046362396842111,6.023181330338235,8,4
25.14,12.04636238087121,6.0231813268314465,8,4
25.2,12.046362367029648,6.023181323230756,8,4
25.26,12.046362353451494,6.023181319684705,8,4
25.32,12.046362340136751,6.023181316193292,8,4
25.38,12.046362327085419,6.023181312756519,8,4
25.44,12.046362314297495,6.023181309374383,8,4
25.5,12.04636230177298,6.0231813060468875,8,4
25.56,12.046362289511878,6.02318130277403,8,4
25.62,12.046362277514183,6.023181299555811,8,4
25.68,12.0463622657799,6.023181296392232,8,4
25.74,12.046362254309026,6.023181293283291,8,4
25.8,12.046362243101562,6.023181290228989,8,4
25.86,12.046362232157508,6.023181287229326,8,4
25.92,12.046362221476864,6.023181284284302,8,4
25.98,12.046362211059629,6.023181281393916,8,4
26.04,12.046362200905804,6.0231812785581695,8,4
26.1,12.04636219101539,6.023181275777062,8,4
26.16,12.046362181388385,6.023181273050593,8,4
26.22,12.046362172024791,6.023181270378762,8,4
26.28,12.046362162924607,6.023181267761571,8,4
26.34,12.046362154087833,6.023181265199019,8,4
26.4,12.046362145514468,6.023181262691106,8,4
26.46,12.046362137204513,6.023181260237831,8,4
26.52,12.046362129157968,6.0231812578391954,8,4
26.58,12.046362121374832,6.023181255495198,8,4
26.64,12.046362113855107,6.0231812532058395,8,4
26.7,12.046362106598792,6.02318125097112,8,4
26.76,12.046362099605886,6.023181248791039,8,4
26.82,12.046362092876391,6.023181246665597,8,4
26.88,12.046362086410307,6.023181244594794,8,4
26.94,12.046362080207631,6.02318124257863,8,4
