"time","h1","h2"
33.1,7.994268164859081,3.996457856440908
33.2,7.99432264724447,3.996491560780463
33.3,7.994376612516549,3.9965249442313486
33.4,7.994430065510932,3.9965580098128326
33.5,7.994483011003442,3.9965907605113733
33.6,7.994535453710112,3.9966231992806183
33.7,7.994587398287188,3.996655329041405
33.8,7.994638849331129,3.9966871526817576
33.9,7.994689811378604,3.996718673056891
34,7.994740288906487,3.99674989298921
34.1,7.994790286331872,3.9967808152683064
34.2,7.9948398092131105,3.996811442781898
34.3,7.994888871926093,3.9968417793526787
34.4,7.994937469813395,3.9968718267020784
34.5,7.994985607261216,3.99690158751115
34.6,7.995033288603444,3.9969310644289506
34.7,7.995080518121648,3.9969602600725427
34.8,7.995127300045096,3.996989177026991
34.9,7.995173638550738,3.9970178178453657
35,7.995219537763212,3.9970461850487404
35.1,7.995265001754849,3.9970742811261935
35.2,7.995310034545668,3.997102108534808
35.3,7.995354640103368,3.99712966969967
35.4,7.9953988223433505,3.9971569670138707
35.5,7.995442585128694,3.997184002838505
35.6,7.995485932270169,3.997210779502672
35.7,7.995528867526239,3.9972372993034746
35.8,7.995571394603048,3.997263564506021
35.9,7.9956135171544345,3.9972895773434236
36,7.995655238781924,3.997315340016797
36.1,7.995696563034731,3.997340854695262
36.2,7.995737493409757,3.9973661235159432
36.3,7.995778039158358,3.9973911562195448
36.4,7.99581820819327,3.9974159608233433
36.5,7.995857996313883,3.9974405294530424
36.6,7.995897407025141,3.9974648644034976
36.7,7.995936443786599,3.9974889679466807
36.8,7.995975110012433,3.9975128423316817
36.9,7.996013409071436,3.9975364897847028
37,7.996051344287021,3.997559912509067
37.1,7.996088918937214,3.99758311268521
37.2,7.9961261362546665,3.9976060924706864
37.3,7.9961629994266445,3.9976288540001663
37.4,7.996199511595034,3.997651399385435
37.5,7.996235675856333,3.9976737307153956
37.6,7.9962714952616665,3.997695850056067
37.7,7.996306972816772,3.9977177594505853
37.8,7.996342111482006,3.997739460919201
37.9,7.996376914172347,3.9977609564592833
38,7.996411383757385,3.9977822480453145
38.1,7.996445523061333,3.9978033376288966
38.2,7.996479334863023,3.9978242271387465
38.3,7.996512821895902,3.997844918480698
38.4,7.996546003018352,3.9978654137174274
38.5,7.996578874913133,3.9978857146427598
38.6,7.996611434312799,3.9979058230286912
38.7,7.996643684092367,3.997925740693112
38.8,7.996675627091185,3.9979454694311363
38.9,7.9967072661129315,3.997965011015101
39,7.996738603925622,3.997984367194571
39.1,7.996769643261604,3.998003539696331
39.2,7.996800386817559,3.9980225302243935
39.3,7.9968308372545005,3.9980413404599937
39.4,7.996860997197775,3.998059972061592
39.5,7.996890869237067,3.9980784266648723
39.6,7.996920455926386,3.9980967058827437
39.7,7.9969497597840835,3.9981148113053373
39.8,7.99697878329284,3.9981327445000114
39.9,7.99700752889967,3.9981505070113488
40,7.997035999015919,3.9981681003611524
40.1,7.997064196017271,3.998185526048454
40.2,7.997092122243738,3.9982027855495077
40.3,7.99711978,3.9982198803177926
40.4,7.997147171644934,3.998236811820593
40.5,7.997174319092453,3.9982535893609747
40.6,7.997201208251542,3.998270207789696
40.7,7.9972278415509415,3.9982866685762706
40.8,7.997254221391933,3.9983029731707296
40.9,7.997280350148332,3.998319123003618
41,7.9973062301664894,3.998335119485996
41.1,7.997331863765293,3.9983509640094406
41.2,7.99735725323617,3.998366657946042
41.3,7.99738240084308,3.9983822026484055
41.4,7.99740730882252,3.998397599449654
41.5,7.997431979383529,3.9984128496634246
41.6,7.997456414707675,3.998427954583868
41.7,7.997480616949064,3.998442915485652
41.8,7.997504588234342,3.998457733623959
41.9,7.997528330662691,3.998472410234487
42,7.997551846305826,3.9984869465334474
42.1,7.997575137208,3.99850134371757
42.2,7.997598205386005,3.998515602964098
42.3,7.9976210528291665,3.9985297254307888
42.4,7.997643681499348,3.998543712255917
42.5,7.997666096187553,3.998557567427682
42.6,7.9976883035727395,3.998571296838807
42.7,7.997710299694761,3.9985848957033077
42.8,7.997732086540984,3.998598365217484
42.9,7.9977536660754325,3.9986117065622904
43,7.997775040238785,3.9986249209033335
43.1,7.997796210948381,3.9986380093908735
43.2,7.99781718009821,3.998650973159824
43.3,7.997837949558923,3.998663813329754
43.4,7.997858521177826,3.998676531004883
43.5,7.99787889677888,3.998689127274086
43.6,7.997899078162703,3.9987016032108915
43.7,7.9979190671065705,3.998713959873481
43.8,7.997938865364412,3.99872619830469
43.9,7.997958474666816,3.9987383195320074
44,7.997977896721025,3.998750324567575
44.1,7.997997133210941,3.9987622144081887
44.2,7.998016185797118,3.998773990035297
44.3,7.998035056116769,3.9987856524150045
44.4,7.998053745783763,3.9987972024980665
44.5,7.998072256388627,3.998808641219893
44.6,7.998090593016139,3.998819973290359
44.7,7.998108756954083,3.9988311993383108
44.8,7.9981267477538385,3.9988423181316226
44.9,7.998144567037933,3.9988533306793967
45,7.998162216412119,3.998864237982471
45.1,7.998179697465534,3.998875041033577
45.2,7.998197011770839,3.9988857408175065
45.3,7.998214160884375,3.998896338311269
45.4,7.99823114634631,3.9989068344842527
45.5,7.998247969680786,3.9989172302983844
45.6,7.9982646323960775,3.9989275267082958
45.7,7.998281135984726,3.9989377246614755
45.8,7.998297481923699,3.9989478250984383
45.9,7.998313671674543,3.9989578289528827
46,7.998329706683523,3.99896773715185
46.1,7.998345588381778,3.99897755061589
46.2,7.998361318185473,3.9989872702592173
46.3,7.998376897495936,3.998996896989873
46.4,7.998392327699823,3.9990064317098892
46.5,7.998407610169257,3.9990158753154463
46.6,7.99842274626198,3.999025228697034
46.7,7.998437739654511,3.9990344915651046
46.8,7.99845259009004,3.9990436655978168
46.9,7.99846729870961,3.9990527517573846
47,7.99848186686975,3.999061750885553
47.1,7.998496295916213,3.999070663817746
47.2,7.998510587184177,3.999079491383196
47.3,7.998524741998466,3.999088234405075
47.4,7.998538761673759,3.999096893700618
47.5,7.998552647514804,3.999105470081259
47.6,7.998566400816636,3.9991139643527536
47.7,7.998580022864787,3.999122377315308
47.8,7.998593514935499,3.9991307097637105
47.9,7.99860687829594,3.999138962487459
48,7.998620114204416,3.999147136270887
48.1,7.9986332239105895,3.999155231893295
48.2,7.998646208655683,3.9991632501290786
48.3,7.998659069672703,3.9991711917478567
48.4,7.998671808186649,3.9991790575146
48.5,7.998684425414727,3.9991868481897592
48.6,7.998696922566567,3.999194564529394
48.7,7.998709300844426,3.9992022072853026
48.8,7.998721561443416,3.9992097772051474
48.9,7.99873370555171,3.999217275032587
49,7.998745734350756,3.999224701507403
49.1,7.998757649015492,3.9992320573656284
49.2,7.998769450714556,3.999239343339675
49.3,7.9987811406105065,3.999246560158467
49.4,7.998792719860031,3.9992537085475632
49.5,7.998804189614161,3.9992607892292895
49.6,7.9988155510184855,3.9992678029228648
49.7,7.998826805213367,3.9992747503445334
49.8,7.99883795333415,3.99928163220769
49.9,7.998848996511379,3.999288449223009
50,7.998859935871012,3.9992952020985735
50,7.998859935871012,3.9992952020985735
