"time","tank1.h","tank2.Q1","tank2.h"
43,4.000625858138502,2.0001564584148164,81.99937414186157
43.1,4.000610452231389,2.0001526072356053,82.19938954776869
43.2,4.000595423915256,2.0001488504397007,82.39940457608482
43.3,4.000580763368678,2.000145185572457,82.5994192366314
43.4,4.0005664608924105,2.00014161020974,82.79943353910765
43.5,4.000552506895864,2.0001381219545475,82.99944749310421
43.6,4.000538914313983,2.000134724040854,83.1994610856861
43.7,4.000525659958287,2.0001314106723806,83.39947434004178
43.8,4.000512733648738,2.000128179304701,83.59948726635133
43.9,4.000500127115254,2.0001250278708214,83.79949987288481
44,4.000487832200995,2.000121954332034,83.99951216779907
44.1,4.000475840851037,2.0001189566750863,84.19952415914905
44.2,4.000464145101046,2.0001160329093524,84.39953585489901
44.3,4.000452737065972,2.0001131810640045,84.5995472629341
44.4,4.000441608928717,2.0001103991851843,84.79955839107134
44.5,4.000430752928816,2.0001076853331714,84.99956924707125
44.6,4.000420161351113,2.000105037579555,85.19957983864894
44.7,4.0004098265144545,2.000102454004408,85.39959017348563
44.8,4.0003997407603515,2.000099932693452,85.59960025923971
44.9,4.00038989644167,2.000097471735233,85.7996101035584
45,4.0003802883031865,2.000095069816229,85.9996197116969
45.1,4.000370951202573,2.000092735650668,86.19962904879749
45.2,4.000361845725461,2.0000904593856403,86.3996381542746
45.3,4.000352965965302,2.000088239544771,86.59964703403476
45.4,4.000344306102696,2.0000860746734617,86.79965569389735
45.5,4.000335860398241,2.0000839633371,86.99966413960182
45.6,4.00032762318539,2.000081904119276,87.19967237681466
45.7,4.000319588863272,2.0000798956199906,87.39968041113681
45.8,4.000311751889567,2.0000779364538688,87.59968824811048
45.9,4.000304106773333,2.0000760252483736,87.79969589322674
46,4.000296648067861,2.000074160642015,87.99970335193221
46.1,4.000289370363516,2.000072341282564,88.19971062963654
46.2,4.0002822682805945,2.000070565825265,88.39971773171949
46.3,4.000275336462151,2.0000688329310448,88.59972466353791
46.4,4.000268569566868,2.0000671412647297,88.7997314304332
46.5,4.000261968061085,2.000065490943005,88.99973803193896
46.6,4.000255548989598,2.000063886227037,89.19974445101046
